outreach_cost_per_member,avoidable_cost_fraction,net_benefit,return_per_dollar_spent
200.0,0.02,-784629.59,0.3048
200.0,0.05,-268673.97,0.7619
200.0,0.1,591252.05,1.5239
200.0,0.15,1451178.07,2.2858
200.0,0.2,2311104.1,3.0478
350.0,0.02,-1631079.59,0.1742
350.0,0.05,-1115123.98,0.4354
350.0,0.1,-255197.95,0.8708
350.0,0.15,604728.07,1.3062
350.0,0.2,1464654.1,1.7416
500.0,0.02,-2477529.59,0.1219
500.0,0.05,-1961573.98,0.3048
500.0,0.1,-1101647.95,0.6096
500.0,0.15,-241721.93,0.9143
500.0,0.2,618204.1,1.2191
750.0,0.02,-3888279.59,0.0813
750.0,0.05,-3372323.98,0.2032
750.0,0.1,-2512397.95,0.4064
750.0,0.15,-1652471.93,0.6096
750.0,0.2,-792545.9,0.8127
1000.0,0.02,-5299029.59,0.061
1000.0,0.05,-4783073.97,0.1524
1000.0,0.1,-3923147.95,0.3048
1000.0,0.15,-3063221.93,0.4572
1000.0,0.2,-2203295.9,0.6096
