decile,members,mean_predicted,mean_actual,total_actual,predictive_ratio,share_of_total_spend_pct
1,11285,400.3311,216.9322,2448080.0,1.8454,0.6861
2,11284,1294.4517,565.2322,6378080.0,2.2901,1.7875
3,11285,2065.4188,1449.6712,16359540.0,1.4247,4.5848
4,11284,3129.0374,2141.7857,24167910.0,1.4609,6.7731
5,11285,4189.2506,2713.1732,30618160.0,1.544,8.5808
6,11284,5280.1116,3174.5861,35822030.0,1.6632,10.0392
7,11284,6522.1295,3747.0268,42281450.0,1.7406,11.8495
8,11285,8099.7769,4545.2893,51293590.0,1.782,14.3752
9,11284,10423.6002,5485.9642,61903620.0,1.9,17.3487
10,11285,16016.1392,7580.716,85548380.0,2.1127,23.9752
