policy,top_k_pct,members_targeted,pct_of_spend_captured,pct_of_spend_random,pct_of_spend_oracle,lift_vs_random,pct_of_high_cost_members_captured,capture_lift_vs_random
two_part_model,1.0,1128,3.9,1.0,13.47,3.9,5.15,5.15
two_part_model,2.0,2257,6.82,2.0,20.99,3.41,9.09,4.54
two_part_model,5.0,5642,13.77,5.0,35.49,2.75,18.23,3.65
two_part_model,10.0,11284,23.97,10.0,49.93,2.4,30.54,3.05
two_part_model,15.0,16927,33.07,15.0,59.41,2.2,40.83,2.72
two_part_model,20.0,22569,41.32,20.0,66.68,2.07,49.31,2.47
two_part_model,25.0,28211,48.75,25.0,72.62,1.95,56.45,2.26
two_part_model,30.0,33854,55.7,30.0,77.58,1.86,63.12,2.1
two_part_model,40.0,45138,67.55,40.0,85.38,1.69,73.9,1.85
two_part_model,50.0,56422,77.59,50.0,91.08,1.55,82.89,1.66
challenger_boosted,1.0,1128,4.94,1.0,13.47,4.94,6.6,6.6
challenger_boosted,2.0,2257,7.49,2.0,20.99,3.75,10.17,5.08
challenger_boosted,5.0,5642,14.08,5.0,35.49,2.82,18.65,3.73
challenger_boosted,10.0,11284,23.7,10.0,49.93,2.37,30.22,3.02
challenger_boosted,15.0,16927,32.9,15.0,59.41,2.19,40.56,2.7
challenger_boosted,20.0,22569,41.56,20.0,66.68,2.08,49.93,2.5
challenger_boosted,25.0,28211,49.15,25.0,72.62,1.97,57.12,2.28
challenger_boosted,30.0,33854,56.14,30.0,77.58,1.87,63.71,2.12
challenger_boosted,40.0,45138,67.91,40.0,85.38,1.7,74.38,1.86
challenger_boosted,50.0,56422,77.95,50.0,91.08,1.56,83.28,1.67
prior_year_cost,1.0,1128,2.71,1.0,13.47,2.71,3.53,3.53
prior_year_cost,2.0,2257,5.33,2.0,20.99,2.66,6.75,3.38
prior_year_cost,5.0,5642,11.64,5.0,35.49,2.33,14.19,2.84
prior_year_cost,10.0,11284,19.92,10.0,49.93,1.99,23.11,2.31
prior_year_cost,15.0,16927,28.15,15.0,59.41,1.88,32.55,2.17
prior_year_cost,20.0,22569,36.4,20.0,66.68,1.82,41.87,2.09
prior_year_cost,25.0,28211,44.44,25.0,72.62,1.78,50.5,2.02
prior_year_cost,30.0,33854,51.68,30.0,77.58,1.72,57.68,1.92
prior_year_cost,40.0,45138,65.11,40.0,85.38,1.63,70.31,1.76
prior_year_cost,50.0,56422,75.9,50.0,91.08,1.52,80.02,1.6
chronic_condition_count,1.0,1128,2.19,1.0,13.47,2.19,2.73,2.73
chronic_condition_count,2.0,2257,4.32,2.0,20.99,2.16,5.34,2.67
chronic_condition_count,5.0,5642,10.34,5.0,35.49,2.07,12.56,2.51
chronic_condition_count,10.0,11284,20.07,10.0,49.93,2.01,23.96,2.4
chronic_condition_count,15.0,16927,29.05,15.0,59.41,1.94,34.08,2.27
chronic_condition_count,20.0,22569,37.17,20.0,66.68,1.86,42.82,2.14
chronic_condition_count,25.0,28211,44.93,25.0,72.62,1.8,50.99,2.04
chronic_condition_count,30.0,33854,52.0,30.0,77.58,1.73,58.07,1.94
chronic_condition_count,40.0,45138,64.66,40.0,85.38,1.62,70.72,1.77
chronic_condition_count,50.0,56422,75.47,50.0,91.08,1.51,81.04,1.62
