condition,members_with_condition,prevalence_pct,mean_cost_with,mean_cost_without,cost_ratio,cost_difference
SP_DIABETES,46824,41.49,4917.95,1916.71,2.566,3001.24
SP_ISCHMCHT,53892,47.76,4628.46,1821.52,2.541,2806.94
SP_CHRNKIDN,23275,20.63,5666.81,2511.17,2.257,3155.63
SP_CHF,38538,34.15,4960.8,2229.15,2.225,2731.65
SP_COPD,17974,15.93,5502.14,2718.7,2.024,2783.44
SP_DEPRESSN,27834,24.67,4977.52,2567.63,1.939,2409.89
SP_ALZHDMTA,26164,23.19,4927.44,2629.17,1.874,2298.26
SP_RA_OA,19706,17.46,4992.15,2774.84,1.799,2217.32
SP_STRKETIA,5873,5.2,5380.63,3040.24,1.77,2340.39
SP_CNCR,9097,8.06,5017.63,2999.34,1.673,2018.29
SP_OSTEOPRS,21851,19.36,4642.08,2806.63,1.654,1835.44
