top_k_pct,members_targeted,pct_of_spend_captured,pct_of_spend_random,pct_of_spend_oracle,lift_vs_random,pct_of_high_cost_members_captured,capture_lift_vs_random
1.0,1128,3.9,1.0,13.47,3.9,5.15,5.15
2.0,2257,6.82,2.0,20.99,3.41,9.09,4.54
5.0,5642,13.77,5.0,35.49,2.75,18.23,3.65
10.0,11284,23.97,10.0,49.93,2.4,30.54,3.05
15.0,16927,33.07,15.0,59.41,2.2,40.83,2.72
20.0,22569,41.32,20.0,66.68,2.07,49.31,2.47
25.0,28211,48.75,25.0,72.62,1.95,56.45,2.26
30.0,33854,55.7,30.0,77.58,1.86,63.12,2.1
40.0,45138,67.55,40.0,85.38,1.69,73.9,1.85
50.0,56422,77.59,50.0,91.08,1.55,82.89,1.66
