feature,participation_coef,participation_pvalue,participation_odds_ratio,severity_coef,severity_pvalue,severity_cost_multiplier,combined_abs_effect
log_prior_rx_cost,-3.1864,7.084030473901632e-83,0.0413,0.1525,2.779106764603583e-10,1.1647,3.3388999999999998
log_rx_days_supply,2.4537,1.4622288797127572e-29,11.6319,-0.4176,1.1134855371396638e-51,0.6586,2.8713
log_carrier_claims,2.4122,1.868025305760768e-25,11.1581,0.3939,3.4373285467841554e-68,1.4828,2.8061
log_prior_total_cost,1.5493,1.2039186290426458e-14,4.7082,0.6313,3.9037927904612832e-168,1.8801,2.1806
prior_had_cost,1.4324,1.3524468452325315e-42,4.1886,-0.5576,4.890340908589948e-193,0.5726,1.9899999999999998
log_rx_fills,1.327,8.531113894500353e-08,3.7698,0.4295,3.0398545298964637e-59,1.5365,1.7565
part_a_months,-1.2381,0.0,0.2899,-0.0307,0.006100283729767684,0.9698,1.2688
log_prior_carrier_cost,-1.0963,6.16997556068891e-10,0.3341,0.0846,2.807658130411108e-05,1.0882,1.1809
log_prior_ip_cost,-0.5148,0.20268104207834448,0.5976,-0.1297,1.147294538011597e-06,0.8784,0.6445000000000001
log_ip_days,-0.381,0.06125650294570992,0.6832,0.0333,0.025757116603832925,1.0339,0.4143
prior_had_admission,0.3111,0.3765436337508258,1.3649,0.1008,1.6480072210675676e-05,1.1061,0.4119
part_b_months,0.3376,1.7827157212623593e-27,1.4016,-0.0124,0.31645048076298876,0.9876,0.35000000000000003
part_d_months,0.2125,3.785685040796971e-05,1.2368,-0.1342,9.399292707015069e-31,0.8744,0.3467
SP_CHF,-0.2859,0.001320226252941486,0.7514,0.0363,4.834792084209944e-10,1.037,0.3222
log_op_visits,0.1894,0.4223667894618637,1.2086,0.1157,6.1881615960191906e-15,1.1227,0.30510000000000004
hmo_months,-0.2602,3.5249416457499974e-11,0.7709,0.0023,0.6537649411370359,1.0023,0.2625
age,-0.2266,3.48322192677418e-18,0.7972,-0.0129,0.008857337792272999,0.9872,0.2395
log_op_emergency_visits,-0.2138,0.41717334245228355,0.8075,0.0116,0.47700552846169864,1.0116,0.2254
has_esrd,-0.1799,0.015302372982370409,0.8353,0.0363,1.4988645061588372e-12,1.037,0.2162
SP_CNCR,-0.2035,0.0029085614119083395,0.8159,0.007,0.1467901231990471,1.007,0.2105
log_ip_admissions,0.0994,0.7045991599881052,1.1045,-0.0855,5.456784767024861e-06,0.9181,0.1849
SP_RA_OA,-0.1349,0.14509160568650226,0.8738,-0.0129,0.011874182758231887,0.9872,0.1478
SP_DIABETES,0.1242,0.22905249022465524,1.1323,0.0144,0.023010593037894933,1.0145,0.1386
log_prior_op_cost,-0.1072,0.6183176835977909,0.8983,-0.0203,0.167849529795426,0.9799,0.1275
SP_STRKETIA,-0.1154,0.11552113694047865,0.891,0.0068,0.1649910674961328,1.0068,0.1222
SP_OSTEOPRS,-0.1056,0.17911296397637455,0.8998,-0.0141,0.004573309486833662,0.986,0.1197
SP_DEPRESSN,-0.1077,0.2124475006033687,0.8979,0.0084,0.10897735015183695,1.0085,0.11610000000000001
SP_CHRNKIDN,-0.0645,0.545570437582507,0.9375,0.0339,1.4029888267159813e-08,1.0345,0.0984
SP_COPD,0.0371,0.708454999075844,1.0378,0.0296,6.3041221903171e-08,1.03,0.06670000000000001
is_female,0.0474,0.06461410550716526,1.0486,-0.0061,0.2107530621842053,0.9939,0.0535
prior_had_emergency,0.0462,0.8564916384096694,1.0473,-0.0045,0.7827088359310138,0.9955,0.050699999999999995
SP_ALZHDMTA,-0.0131,0.8819798810216022,0.987,0.015,0.004180386269962266,1.0151,0.0281
SP_ISCHMCHT,-0.004,0.9657566630564535,0.996,0.019,0.0027079038979762673,1.0192,0.023
