baseline_auc,feature,mean_auc_drop,std_auc_drop
0.7644,log_prior_total_cost,0.11323,0.00127
0.7644,log_carrier_claims,0.08097,0.00197
0.7644,log_rx_fills,0.05366,0.00088
0.7644,prior_had_cost,0.02459,0.00124
0.7644,log_rx_days_supply,0.02449,0.00057
0.7644,log_prior_ip_cost,0.01124,0.00041
0.7644,log_op_visits,0.00697,0.00027
0.7644,log_ip_admissions,0.00496,0.00013
0.7644,log_prior_rx_cost,0.00491,0.00079
0.7644,part_d_months,0.00317,0.00024
0.7644,log_prior_carrier_cost,0.00222,0.00014
0.7644,prior_had_admission,0.00137,0.00033
0.7644,has_esrd,0.00056,0.00015
0.7644,part_a_months,0.00029,6e-05
0.7644,SP_CHRNKIDN,0.00029,0.0002
0.7644,SP_ISCHMCHT,0.00025,7e-05
0.7644,log_op_emergency_visits,0.00023,5e-05
0.7644,SP_CHF,0.00022,0.0001
0.7644,SP_DIABETES,0.00021,3e-05
0.7644,SP_ALZHDMTA,0.00015,3e-05
0.7644,SP_COPD,0.00011,8e-05
0.7644,part_b_months,9e-05,2e-05
0.7644,SP_DEPRESSN,6e-05,2e-05
0.7644,SP_CNCR,5e-05,1e-05
0.7644,is_female,1e-05,2e-05
0.7644,hmo_months,0.0,1e-05
0.7644,SP_RA_OA,-1e-05,3e-05
0.7644,SP_STRKETIA,-2e-05,2e-05
0.7644,SP_OSTEOPRS,-2e-05,2e-05
0.7644,prior_had_emergency,-4e-05,2e-05
0.7644,age,-7e-05,6e-05
0.7644,log_prior_op_cost,-0.00025,6e-05
0.7644,log_ip_days,-0.00064,4e-05
