baseline_auc,feature,mean_auc_drop,std_auc_drop
0.7674,log_carrier_claims,0.04653,0.00114
0.7674,log_prior_total_cost,0.0144,0.00034
0.7674,log_prior_rx_cost,0.00555,0.00033
0.7674,log_op_visits,0.0046,0.00015
0.7674,log_rx_fills,0.00162,0.00019
0.7674,log_prior_op_cost,0.00152,0.0001
0.7674,log_prior_carrier_cost,0.00082,0.00031
0.7674,log_prior_ip_cost,0.00047,4e-05
0.7674,has_esrd,0.00034,4e-05
0.7674,SP_DIABETES,0.0003,4e-05
0.7674,part_d_months,0.00028,6e-05
0.7674,part_a_months,0.00026,7e-05
0.7674,log_rx_days_supply,0.00024,0.00011
0.7674,SP_ISCHMCHT,0.00021,0.0001
0.7674,SP_ALZHDMTA,0.00021,4e-05
0.7674,SP_RA_OA,0.0002,2e-05
0.7674,log_ip_admissions,0.00016,4e-05
0.7674,log_op_emergency_visits,0.00015,6e-05
0.7674,SP_CNCR,0.00014,2e-05
0.7674,SP_CHRNKIDN,8e-05,0.00018
0.7674,SP_OSTEOPRS,8e-05,5e-05
0.7674,SP_DEPRESSN,4e-05,3e-05
0.7674,hmo_months,3e-05,4e-05
0.7674,part_b_months,1e-05,2e-05
0.7674,prior_had_cost,0.0,0.0
0.7674,prior_had_admission,0.0,0.0
0.7674,prior_had_emergency,0.0,0.0
0.7674,log_ip_days,-0.0,3e-05
0.7674,SP_STRKETIA,0.0,1e-05
0.7674,is_female,-1e-05,2e-05
0.7674,age,-4e-05,6e-05
0.7674,SP_COPD,-9e-05,0.00013
0.7674,SP_CHF,-0.00015,9e-05
